baseline	range	ef	al	build_seconds	space_usage_bytes	space_usage_source	rss_delta_bytes	index_file_bytes	recall	avg_ms	qps	kpqs	valid_queries
hsig_hybrid	100	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	1.000000	5.942233	168.286899	0.168287	1000
hsig_pre	100	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	1.000000	6.035046	165.698822	0.165699	1000
hsig_post	100	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	1.000000	6.029394	165.854145	0.165854	1000
hsig_hybrid	1000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	1.000000	3.700525	270.231949	0.270232	1000
hsig_pre	1000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	1.000000	3.713943	269.255595	0.269256	1000
hsig_post	1000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	1.000000	3.690111	270.994556	0.270995	1000
hsig_hybrid	10000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.999800	0.893282	1119.466998	1.119467	1000
hsig_pre	10000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.999800	0.919328	1087.750857	1.087751	1000
hsig_post	10000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.999800	0.894660	1117.743028	1.117743	1000
hsig_hybrid	100000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.998000	0.243176	4112.253871	4.112254	1000
hsig_pre	100000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.998000	0.258328	3871.053355	3.871053	1000
hsig_post	100000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.998000	0.250740	3988.191937	3.988192	1000
hsig_hybrid	1000000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.994300	0.143311	6977.825536	6.977826	1000
hsig_pre	1000000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.994300	0.132413	7552.114708	7.552115	1000
hsig_post	1000000	160	16	3328.647685	7299201862	index_file_bytes	7983165440	7299201862	0.994300	0.105376	9489.792592	9.489793	1000
